sku,slug,handle,common,group,family,origin,care,temperament,swim,tank,adult,tempC,ph,hard,diet,social,life,psize,desc,tips,aqa_staple,aqa_treat,feeding_note,hub_url,care_url,shop_url,title
RA-FSH-0011,red-tail-botia,red-tail-botia-4inch,Red Tail Botia,Loach,Cobitidae / Botiidae,Asia,Beginner-Intermediate,Peaceful (with care),Bottom,115-280 L (species-dependent),2-12 in — varies by species,24-28°C,6.0-7.5,Soft-Medium (3-15 dGH),Omnivore,Groups of 5 or more,10-15 years,5 in,Red Tail Botia is a social bottom-dwelling loach that does best in groups and appreciates smooth substrate and hiding spots. Some stay small; clown loaches grow large and long-lived.,Keep in groups of 5+ — loaches are social and pine when kept singly. | Use smooth substrate and provide caves/tunnels for security. | Many relish snails; confirm adult size (clown loach reaches ~30 cm).,aqa-micro-pellet-economy,aqa-brineshrimp-flakes,Use a sinking food; many also relish snails.,https://care.best4pets.in/fish/red-tail-botia,https://care.best4pets.in/fish/red-tail-botia/care/,https://best4pets.in/products/red-tail-botia-4inch,Red Tail Botia 5inch
RA-FSH-0012,black-diamond-barb,black-diamond-barb-pair,Black Diamond Barb,Barb,Cyprinidae,Asia,Beginner-Intermediate,Semi-aggressive,Middle,115 L,2-3 in (5-8 cm),22-26°C,6.0-7.5,Soft-Medium (4-15 dGH),Omnivore,Shoal of 6 or more,5 years,,"Black Diamond Barb is an active, hardy barb. Kept in good numbers it's a lively community fish, but small groups can turn nippy toward long-finned tankmates.","Keep a shoal of 6+ to spread out natural nipping behaviour. | Avoid slow, long-finned tankmates (e.g. bettas, angelfish, guppies). | Provide open swimming space for this fast, energetic fish.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/black-diamond-barb,https://care.best4pets.in/fish/black-diamond-barb/care/,https://best4pets.in/products/black-diamond-barb-pair,Black Diamond Barb (Pair)
RA-FSH-0013,northern-thailand-tiger-fish,northern-thailand-tiger-fish,Northern Thailand Tiger Fish,Oddball/Predator,Various,Varies,Intermediate-Advanced,Aggressive,All levels,280-1140+ L (species-dependent),6-48 in — varies hugely by species,24-28°C,6.5-7.5,Soft-Medium (5-15 dGH),Carnivore,Solitary or species-dependent,10-20 years,,"Northern Thailand Tiger Fish is a specialist 'oddball' predator (such as bichirs, arowana, gar, knifefish or eels). Most grow large and hunt, so the exact species dictates tank size and tankmates.","Use a tight, weighted lid — most oddball predators jump or climb. | Predatory: never house with fish small enough to be swallowed. | Research the exact species — many outgrow standard aquariums dramatically.",aqa-brineshrimp-flakes,,Predatory — feed meaty foods sized to the fish; large species need large prey items.,https://care.best4pets.in/fish/northern-thailand-tiger-fish,https://care.best4pets.in/fish/northern-thailand-tiger-fish/care/,https://best4pets.in/products/northern-thailand-tiger-fish,Northern Thailand Tiger Fish
RA-FSH-0014,clown-loach,clown-loach-4inch,Clown Loach,Loach,Cobitidae / Botiidae,Asia,Beginner-Intermediate,Peaceful (with care),Bottom,280 L,10-12 in (25-30 cm),24-28°C,6.0-7.5,Soft-Medium (3-15 dGH),Omnivore,Groups of 5+,10-15 years,4 in,Clown Loach is a social bottom-dwelling loach that does best in groups and appreciates smooth substrate and hiding spots. Some stay small; clown loaches grow large and long-lived.,Keep in groups of 5+ — loaches are social and pine when kept singly. | Use smooth substrate and provide caves/tunnels for security. | Many relish snails; confirm adult size (clown loach reaches ~30 cm).,aqa-micro-pellet-economy,aqa-brineshrimp-flakes,Use a sinking food; many also relish snails.,https://care.best4pets.in/fish/clown-loach,https://care.best4pets.in/fish/clown-loach/care/,https://best4pets.in/products/clown-loach-4inch,Clown Loach 4inch
RA-FSH-0015,leopard-danio,leopard-danio-pair,Leopard danio,Danio/Minnow,Cyprinidae,Asia,Beginner,Peaceful,Top-Middle,75 L,1-2.5 in (2.5-6 cm),18-25°C,6.5-7.5,Soft-Medium (5-15 dGH),Omnivore,Shoal of 6 or more,3-5 years,,"Leopard danio is a hardy, extremely active schooling fish that tolerates cooler water than most tropicals. A great, forgiving choice for community and coldwater-leaning tanks.",Keep a tight-fitting lid — these are energetic jumpers. | Happiest in a shoal of 6+ with long open swimming lanes. | Tolerates cooler room-temperature water; avoid overheating.,aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/leopard-danio,https://care.best4pets.in/fish/leopard-danio/care/,https://best4pets.in/products/leopard-danio-pair,Leopard danio (Pair)
RA-FSH-0016,threadfin-rainbow-male,threadfin-rainbow-male-xxl,Threadfin Rainbow Male,Rainbowfish,Melanotaeniidae,Australia / New Guinea,Beginner-Intermediate,Peaceful,Middle-Top,115 L,2-5 in (5-13 cm),23-28°C,7.0-8.0,Medium-Hard (8-20 dGH),Omnivore,Shoal of 6 or more,5-8 years,,"Threadfin Rainbow Male is an active, peaceful schooling fish whose colours intensify with age and in a group. It prefers neutral-to-hard water and plenty of open swimming space.","Keep 6+ — colour and confidence build in a shoal (and with mature males). | Neutral to slightly alkaline, harder water suits them well. | Give long open swimming lanes; they're fast, active swimmers.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/threadfin-rainbow-male,https://care.best4pets.in/fish/threadfin-rainbow-male/care/,https://best4pets.in/products/threadfin-rainbow-male-xxl,Threadfin Rainbow Male XXL
RA-FSH-0017,channa-pulchra,channa-pulchra-3-4inch,Channa Pulchra,Snakehead,Channidae,Asia / Africa,Intermediate-Advanced,Aggressive,All levels,200-475 L (species-dependent),6-40 in — varies hugely by species,22-28°C,6.0-7.5,Soft-Medium (5-15 dGH),Carnivore,Solitary or bonded pair,10-15 years,3-4 in,"Channa Pulchra is a predatory air-breathing snakehead. Species range from ~15 cm dwarves to metre-long giants, so the exact species dictates tank size. All are escape artists and hunters.","A tight, weighted lid is essential — snakeheads are determined jumpers. | Predatory: do not house with fish small enough to be eaten. | Confirm the species' adult size before buying — it ranges from 15 cm to over 1 m.",aqa-brineshrimp-flakes,,Predatory — feed meaty foods sized to the fish.,https://care.best4pets.in/fish/channa-pulchra,https://care.best4pets.in/fish/channa-pulchra/care/,https://best4pets.in/products/channa-pulchra-3-4inch,Channa Pulchra 3-4inch
RA-FSH-0018,albino-heckelii,albino-heckelii-3,Albino Heckelii,SA/CA Cichlid (large),Cichlidae,Central/South America,Intermediate-Advanced,Aggressive,All levels,200-475 L (species-dependent),6-16 in — varies by species,23-28°C,6.5-7.5,Medium (5-20 dGH),Carnivore/Omnivore,Solitary or bonded pair,10-15 years,3 in,"Albino Heckelii is a large, characterful New World cichlid. These fish are intelligent and territorial, needing a big tank, strong filtration and robust decor. Adult size varies widely by species.",Provide a large tank with powerful filtration and secure hardscape. | Territorial and often aggressive — choose tankmates carefully and confirm the species' temperament. | Confirm the exact species' adult size before stocking — some exceed 30 cm.,aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Larger specimens need bigger meaty/pellet foods.,https://care.best4pets.in/fish/albino-heckelii,https://care.best4pets.in/fish/albino-heckelii/care/,https://best4pets.in/products/albino-heckelii-3,"Albino Heckelii 3"" (Pair)"
RA-FSH-0019,blue-neon-cichlid,blue-neon-cichlid-2-5-3inch,Blue Neon Cichlid,Tetra/Characin,Characidae,South America,Beginner,Peaceful,Middle,75 L,1.5-2.5 in (4-6 cm),22-27°C,5.5-7.5,Soft-Medium (2-15 dGH),Omnivore,Shoal of 6 or more,3-5 years,2-2.5 in,"Blue Neon Cichlid is a small, active schooling characin that shows its best colour and behaviour in a group. Peaceful and undemanding, it's ideal for planted community aquariums.","Keep in a shoal of at least 6 — lone specimens are shy and washed-out. | Offer a varied diet of quality micro-pellets, flakes and frozen foods. | Best in a planted tank with open swimming space and gentle flow.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/blue-neon-cichlid,https://care.best4pets.in/fish/blue-neon-cichlid/care/,https://best4pets.in/products/blue-neon-cichlid-2-5-3inch,Blue Neon Cichlid 2-2.5inch
RA-FSH-0020,macaw-cichlid,macaw-cichlid-5inch-copy,Macaw Cichlid,SA/CA Cichlid (large),Cichlidae,Central/South America,Intermediate-Advanced,Aggressive,All levels,200-475 L (species-dependent),6-16 in — varies by species,23-28°C,6.5-7.5,Medium (5-20 dGH),Carnivore/Omnivore,Solitary or bonded pair,10-15 years,5 in,"Macaw Cichlid is a large, characterful New World cichlid. These fish are intelligent and territorial, needing a big tank, strong filtration and robust decor. Adult size varies widely by species.",Provide a large tank with powerful filtration and secure hardscape. | Territorial and often aggressive — choose tankmates carefully and confirm the species' temperament. | Confirm the exact species' adult size before stocking — some exceed 30 cm.,aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Larger specimens need bigger meaty/pellet foods.,https://care.best4pets.in/fish/macaw-cichlid,https://care.best4pets.in/fish/macaw-cichlid/care/,https://best4pets.in/products/macaw-cichlid-5inch-copy,Macaw Cichlid 5inch
RA-FSH-0021,placidochromis-phenochilus-3-3-5,placidochromis-phenochilus-3-3-5,Placidochromis phenochilus 3-3.5,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,,"Placidochromis phenochilus 3-3.5 is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/placidochromis-phenochilus-3-3-5,https://care.best4pets.in/fish/placidochromis-phenochilus-3-3-5/care/,https://best4pets.in/products/placidochromis-phenochilus-3-3-5,Placidochromis phenochilus 3-3.5
RA-FSH-0022,pundamilia-nyererei-cichlid,pundamilia-nyererei-cichlid-2inch,Pundamilia Nyererei Cichlid,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,2 in,"Pundamilia Nyererei Cichlid is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/pundamilia-nyererei-cichlid,https://care.best4pets.in/fish/pundamilia-nyererei-cichlid/care/,https://best4pets.in/products/pundamilia-nyererei-cichlid-2inch,Pundamilia Nyererei Cichlid 2inch
RA-FSH-0023,yellow-sunshine-peacock,yellow-sunshine-peacock-2-5,Yellow Sunshine Peacock,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,2 in,"Yellow Sunshine Peacock is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/yellow-sunshine-peacock,https://care.best4pets.in/fish/yellow-sunshine-peacock/care/,https://best4pets.in/products/yellow-sunshine-peacock-2-5,Yellow Sunshine Peacock 2inch
RA-FSH-0024,livingstonii-cichlid,livingstonii-cichlid-2-5,Livingstonii Cichlid,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,2.5 in,"Livingstonii Cichlid is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/livingstonii-cichlid,https://care.best4pets.in/fish/livingstonii-cichlid/care/,https://best4pets.in/products/livingstonii-cichlid-2-5,"Livingstonii Cichlid 2.5"""
RA-FSH-0025,t-bar-cichlid,t-bar-cichlid-2-pair,T Bar Cichlid,Cichlid (other),Cichlidae,Varies,Intermediate,Semi-aggressive,All levels,150-200 L,4-8 in — varies by species,23-28°C,6.5-8.0,Medium (5-20 dGH),Omnivore,Species-dependent,8-12 years,2 in,T Bar Cichlid is a cichlid whose exact requirements depend on its species and region. As a group these fish are territorial and appreciate structured decor and defined territories.,Confirm the species' origin (African rift vs. New World) to set the right water hardness. | Provide territory and broken sight-lines to reduce aggression. | Match tankmates to the species' adult size and temperament.,aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/t-bar-cichlid,https://care.best4pets.in/fish/t-bar-cichlid/care/,https://best4pets.in/products/t-bar-cichlid-2-pair,"T Bar Cichlid 2"" (Pair)"
RA-FSH-0026,channa-andrao,channa-andrao-4-5inch-pairs,Channa andrao,Snakehead,Channidae,Asia / Africa,Intermediate-Advanced,Aggressive,All levels,100-150 L ,4-6 in,18-26°C,6.0-7.5,Soft-Medium (5-15 dGH),Carnivore,Solitary or bonded pair,10-15 years,4.5 in,Channa andrao is a predatory air-breathing snakehead. One of the smallest snakeheads from India. All are escape artists and hunters.,"A tight, weighted lid is essential — snakeheads are determined jumpers. | Predatory: do not house with fish small enough to be eaten. | Confirm the species' adult size before buying.",aqa-brineshrimp-flakes,,Predatory — feed meaty foods sized to the fish.,https://care.best4pets.in/fish/channa-andrao,https://care.best4pets.in/fish/channa-andrao/care/,https://best4pets.in/products/channa-andrao-4-5inch-pairs,Channa andrao 4.5inch (Pairs)
RA-FSH-0027,cynotilapia-zebroides-jalo-reef,cynotilapia-zebroides-jalo-reef-4inch,Cynotilapia zebroides Jalo Reef,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,4 in,"Cynotilapia zebroides Jalo Reef is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/cynotilapia-zebroides-jalo-reef,https://care.best4pets.in/fish/cynotilapia-zebroides-jalo-reef/care/,https://best4pets.in/products/cynotilapia-zebroides-jalo-reef-4inch,Cynotilapia zebroides 'Jalo Reef' 4inch
RA-FSH-0028,blue-rainbow,blue-rainbow-xl-pair,Blue Rainbow,Rainbowfish,Melanotaeniidae,Australia / New Guinea,Beginner-Intermediate,Peaceful,Middle-Top,115 L,2-5 in (5-13 cm),23-28°C,7.0-8.0,Medium-Hard (8-20 dGH),Omnivore,Shoal of 6 or more,5-8 years,,"Blue Rainbow is an active, peaceful schooling fish whose colours intensify with age and in a group. It prefers neutral-to-hard water and plenty of open swimming space.","Keep 6+ — colour and confidence build in a shoal (and with mature males). | Neutral to slightly alkaline, harder water suits them well. | Give long open swimming lanes; they're fast, active swimmers.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/blue-rainbow,https://care.best4pets.in/fish/blue-rainbow/care/,https://best4pets.in/products/blue-rainbow-xl-pair,Blue Rainbow XL (Pair)
RA-FSH-0029,baloon-texas-cichlid,baloon-texas-cichlid-2-5inch,Baloon Texas Cichlid,SA/CA Cichlid (large),Cichlidae,Central/South America,Intermediate-Advanced,Aggressive,All levels,280 L,8-12 in (20-30 cm),23-28°C,6.5-7.5,Medium (5-20 dGH),Carnivore/Omnivore,Solitary or bonded pair,10-15 years,3 in,"Baloon Texas Cichlid is a large, characterful New World cichlid. These fish are intelligent and territorial, needing a big tank, strong filtration and robust decor. Adult size varies widely by species.",Provide a large tank with powerful filtration and secure hardscape. | Territorial and often aggressive — choose tankmates carefully and confirm the species' temperament. | Confirm the exact species' adult size before stocking — some exceed 30 cm.,aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Larger specimens need bigger meaty/pellet foods.,https://care.best4pets.in/fish/baloon-texas-cichlid,https://care.best4pets.in/fish/baloon-texas-cichlid/care/,https://best4pets.in/products/baloon-texas-cichlid-2-5inch,Baloon Texas Cichlid 3inch
